version	dp1	dp1_count	dp2	dp2_count	dp3	dp3_count	dp4	dp4_count
5.3	SUBMODFID	1	Seq_APPO_v	1	O_APPO_v	18		
5.3	SUBMODFID	1	Seq_APPO_v	1	O_APPO_v	23		
5.3	SUBMODFID	1	Seq_APPO_v	1	O_APPO_v	29		
5.3	SUBMODFID	1	Seq_APPO_v	1	O_APPO_v	34		
5.3	SUBMODFID	1	Seq_APPO_v	1	O_APPO_v	42		
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	23
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	29
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	35
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	43
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	47
7.1	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	50
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	23
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	29
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	35
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	43
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	47
8.0	SUBMODFID	1	Seq_APPO_v	1	TS_APPO_v	1	O_APPO2_v	50
